"paymentId","dlaId","paymentDate","amount","paymentMethod","paymentReference","notes"
"DLA-PAY-2026-0001","DLA-2026-0001","2026-02-10","4000","Bank",,"ref...."
"DLA-PAY-2026-0002","DLA-2026-0002","2026-02-10","300","Bank",,"ref...."
"DLA-PAY-2026-0003","DLA-2026-0001","2026-02-10","3000","Bank",,"ref12345"
"DLA-PAY-2026-0004","DLA-2025-0068","2026-03-01","500","Bank",,"Cleared ff"
"DLA-PAY-2026-0005","DLA-2024-0019","2026-03-01","500","Bank",,"cleard off"
"DLA-PAY-2026-0006","DLA-2026-0038","2026-04-20","6.8","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0007","DLA-2026-0042","2026-04-20","78.93","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0008","DLA-2026-0029","2026-04-20","117.9","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0009","DLA-2026-0039","2026-04-20","79.94","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0010","DLA-2026-0040","2026-04-20","929","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0011","DLA-2026-0037","2026-04-20","58.74","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0012","DLA-2026-0036","2026-04-20","95.2","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0013","DLA-2026-0034","2026-04-20","255.52","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0014","DLA-2026-0035","2026-04-20","197.99","Bank","DLA-001 (BATCH-20260420-071245)","Batch payment BATCH-20260420-071245. Pay off DLA batch 1"
"DLA-PAY-2026-0015","DLA-2026-0033","2026-04-20","41.47","Bank","DLA-002 (BATCH-20260420-080520)","Batch payment BATCH-20260420-080520. DLA PAyback"
"DLA-PAY-2026-0016","DLA-2026-0032","2026-04-20","58.75","Bank","DLA-002 (BATCH-20260420-080520)","Batch payment BATCH-20260420-080520. DLA PAyback"
"DLA-PAY-2026-0017","DLA-2026-0030","2026-04-20","15","Bank","DLA-002 (BATCH-20260420-080520)","Batch payment BATCH-20260420-080520. DLA PAyback"
"DLA-PAY-2026-0018","DLA-2026-0031","2026-04-20","19.99","Bank","DLA-002 (BATCH-20260420-080520)","Batch payment BATCH-20260420-080520. DLA PAyback"
"DLA-PAY-2026-0019","DLA-2026-0041","2026-04-20","19","Bank Transfer","Test payment (BATCH-20260420-085135)","Batch payment BATCH-20260420-085135"
"DLA-PAY-2026-0020","DLA-2026-0022","2026-04-20","31.19","Bank","DLA-003 (BATCH-20260420-101040)","Batch payment BATCH-20260420-101040"
"DLA-PAY-2026-0021","DLA-2026-0020","2026-04-20","27.54","Bank","DLA-003 (BATCH-20260420-101040)","Batch payment BATCH-20260420-101040"
"DLA-PAY-2026-0022","DLA-2026-0019","2026-04-20","83","Bank","DLA-003 (BATCH-20260420-102152)","Batch payment BATCH-20260420-102152"
"DLA-PAY-2026-0023","DLA-2026-0018","2026-04-20","1115.2","Bank","DLA-003 (BATCH-20260420-102152)","Batch payment BATCH-20260420-102152"
"DLA-PAY-2026-0024","DLA-2026-0016","2026-04-20","79.97","Bank","DLA-003 (BATCH-20260420-102152)","Batch payment BATCH-20260420-102152"
"DLA-PAY-2026-0025","DLA-2026-0017","2026-04-20","99.99","Bank","DLA-003 (BATCH-20260420-102152)","Batch payment BATCH-20260420-102152"
"DLA-PAY-2026-0032","DLA-2026-0001","2026-04-21","106.8","Bank","DLA-004 (BATCH-20260421-073142)","Batch payment BATCH-20260421-073142"
"DLA-PAY-2026-0033","DLA-2026-0002","2026-04-21","161.2","Bank","DLA-004 (BATCH-20260421-073142)","Batch payment BATCH-20260421-073142"
"DLA-PAY-2026-0034","DLA-2026-0003","2026-04-21","173.2","Bank","DLA-004 (BATCH-20260421-073142)","Batch payment BATCH-20260421-073142"
"DLA-PAY-2026-0035","DLA-2026-0023","2026-04-21","31.18","Bank","DLA-004 (BATCH-20260421-073142)","Batch payment BATCH-20260421-073142"
"DLA-PAY-2026-0036","DLA-2026-0011","2026-04-21","24.74","Bank","DLA-004 (BATCH-20260421-073142)","Batch payment BATCH-20260421-073142"
"DLA-PAY-2026-0037","DLA-2026-0004","2026-04-21","100","Bank","DLA-004 (BATCH-20260421-073142)","Batch payment BATCH-20260421-073142"
"DLA-PAY-2026-0038","DLA-2026-0010","2026-04-21","6.8","Bank","DLA-004 (BATCH-20260421-073142)","Batch payment BATCH-20260421-073142"
"DLA-PAY-2026-0039","DLA-2026-0005","2026-04-21","165.22","Bank","DLA-004 (BATCH-20260421-074741)","Batch payment BATCH-20260421-074741. final email verify"
